sample_id,piece_id,cavity_id,shape_family,is_mvp,rotation_deg,label,split,heldout_family_fold,cavity_source,piece_height_mm,cavity_depth_mm,p_mask_area_px,c_mask_area_px,iou
33,rectangle_000,rectangle_000_cav00,rectangle,False,330,0,train,0,matching_clearance,49.554,77.744,5390,5676,0.714424
34,rectangle_000,rectangle_000_cav00,rectangle,False,340,0,train,0,matching_clearance,49.554,77.744,5328,5676,0.767953
35,rectangle_000,rectangle_000_cav00,rectangle,False,350,1,train,0,matching_clearance,49.554,77.744,5394,5676,0.855418
36,rectangle_000,rectangle_000_cav01,rectangle,False,0,0,train,0,other_piece_matching,49.554,73.226,5376,5536,0.758383
37,rectangle_000,rectangle_000_cav01,rectangle,False,10,0,train,0,other_piece_matching,49.554,73.226,5394,5536,0.760273
38,rectangle_000,rectangle_000_cav01,rectangle,False,20,0,train,0,other_piece_matching,49.554,73.226,5328,5536,0.763542
39,rectangle_000,rectangle_000_cav01,rectangle,False,30,0,train,0,other_piece_matching,49.554,73.226,5390,5536,0.770693
40,rectangle_000,rectangle_000_cav01,rectangle,False,40,0,val,0,other_piece_matching,49.554,73.226,5358,5536,0.778754
41,rectangle_000,rectangle_000_cav01,rectangle,False,50,0,train,0,other_piece_matching,49.554,73.226,5358,5536,0.787238
42,rectangle_000,rectangle_000_cav01,rectangle,False,60,0,train,0,other_piece_matching,49.554,73.226,5390,5536,0.793862
43,rectangle_000,rectangle_000_cav01,rectangle,False,70,0,train,0,other_piece_matching,49.554,73.226,5328,5536,0.797313
44,rectangle_000,rectangle_000_cav01,rectangle,False,80,0,test,0,other_piece_matching,49.554,73.226,5394,5536,0.800016
45,rectangle_000,rectangle_000_cav01,rectangle,False,90,0,train,0,other_piece_matching,49.554,73.226,5376,5536,0.800118
46,rectangle_000,rectangle_000_cav01,rectangle,False,100,0,train,0,other_piece_matching,49.554,73.226,5394,5536,0.800016
47,rectangle_000,rectangle_000_cav01,rectangle,False,110,0,train,0,other_piece_matching,49.554,73.226,5328,5536,0.797313
48,rectangle_000,rectangle_000_cav01,rectangle,False,120,0,train,0,other_piece_matching,49.554,73.226,5390,5536,0.793862
49,rectangle_000,rectangle_000_cav01,rectangle,False,130,0,train,0,other_piece_matching,49.554,73.226,5358,5536,0.787285
50,rectangle_000,rectangle_000_cav01,rectangle,False,140,0,val,0,other_piece_matching,49.554,73.226,5358,5536,0.778754
51,rectangle_000,rectangle_000_cav01,rectangle,False,150,0,train,0,other_piece_matching,49.554,73.226,5390,5536,0.770693
52,rectangle_000,rectangle_000_cav01,rectangle,False,160,0,train,0,other_piece_matching,49.554,73.226,5328,5536,0.763542
53,rectangle_000,rectangle_000_cav01,rectangle,False,170,0,train,0,other_piece_matching,49.554,73.226,5394,5536,0.760273
54,rectangle_000,rectangle_000_cav01,rectangle,False,180,0,train,0,other_piece_matching,49.554,73.226,5376,5536,0.758383
55,rectangle_000,rectangle_000_cav01,rectangle,False,190,0,val,0,other_piece_matching,49.554,73.226,5394,5536,0.760273
56,rectangle_000,rectangle_000_cav01,rectangle,False,200,0,train,0,other_piece_matching,49.554,73.226,5328,5536,0.763542
57,rectangle_000,rectangle_000_cav01,rectangle,False,210,0,test,0,other_piece_matching,49.554,73.226,5390,5536,0.770693
58,rectangle_000,rectangle_000_cav01,rectangle,False,220,0,train,0,other_piece_matching,49.554,73.226,5358,5536,0.778754
59,rectangle_000,rectangle_000_cav01,rectangle,False,230,0,train,0,other_piece_matching,49.554,73.226,5358,5536,0.787238
60,rectangle_000,rectangle_000_cav01,rectangle,False,240,0,test,0,other_piece_matching,49.554,73.226,5390,5536,0.793862
61,rectangle_000,rectangle_000_cav01,rectangle,False,250,0,train,0,other_piece_matching,49.554,73.226,5328,5536,0.797313
62,rectangle_000,rectangle_000_cav01,rectangle,False,260,0,train,0,other_piece_matching,49.554,73.226,5394,5536,0.800016
63,rectangle_000,rectangle_000_cav01,rectangle,False,270,0,train,0,other_piece_matching,49.554,73.226,5376,5536,0.800118
64,rectangle_000,rectangle_000_cav01,rectangle,False,280,0,train,0,other_piece_matching,49.554,73.226,5394,5536,0.800016
65,rectangle_000,rectangle_000_cav01,rectangle,False,290,0,train,0,other_piece_matching,49.554,73.226,5328,5536,0.797313
66,rectangle_000,rectangle_000_cav01,rectangle,False,300,0,train,0,other_piece_matching,49.554,73.226,5390,5536,0.793862
67,rectangle_000,rectangle_000_cav01,rectangle,False,310,0,test,0,other_piece_matching,49.554,73.226,5358,5536,0.787285
68,rectangle_000,rectangle_000_cav01,rectangle,False,320,0,test,0,other_piece_matching,49.554,73.226,5358,5536,0.778754
69,rectangle_000,rectangle_000_cav01,rectangle,False,330,0,train,0,other_piece_matching,49.554,73.226,5390,5536,0.770693
70,rectangle_000,rectangle_000_cav01,rectangle,False,340,0,test,0,other_piece_matching,49.554,73.226,5328,5536,0.763542
71,rectangle_000,rectangle_000_cav01,rectangle,False,350,0,train,0,other_piece_matching,49.554,73.226,5394,5536,0.760273
72,rectangle_000,rectangle_000_cav02,rectangle,False,0,0,train,0,scale_minus_20_percent,49.554,90.455,5376,3536,0.654333
73,rectangle_000,rectangle_000_cav02,rectangle,False,10,0,train,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.652586
74,rectangle_000,rectangle_000_cav02,rectangle,False,20,0,train,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.636522
75,rectangle_000,rectangle_000_cav02,rectangle,False,30,0,train,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.611799
76,rectangle_000,rectangle_000_cav02,rectangle,False,40,0,train,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.593775
77,rectangle_000,rectangle_000_cav02,rectangle,False,50,0,val,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.582615
78,rectangle_000,rectangle_000_cav02,rectangle,False,60,0,train,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.577857
79,rectangle_000,rectangle_000_cav02,rectangle,False,70,0,test,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.581478
80,rectangle_000,rectangle_000_cav02,rectangle,False,80,0,train,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.591722
81,rectangle_000,rectangle_000_cav02,rectangle,False,90,0,train,0,scale_minus_20_percent,49.554,90.455,5376,3536,0.592315
82,rectangle_000,rectangle_000_cav02,rectangle,False,100,0,test,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.591722
83,rectangle_000,rectangle_000_cav02,rectangle,False,110,0,train,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.581478
84,rectangle_000,rectangle_000_cav02,rectangle,False,120,0,val,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.577857
85,rectangle_000,rectangle_000_cav02,rectangle,False,130,0,test,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.582615
86,rectangle_000,rectangle_000_cav02,rectangle,False,140,0,val,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.593775
87,rectangle_000,rectangle_000_cav02,rectangle,False,150,0,train,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.611799
88,rectangle_000,rectangle_000_cav02,rectangle,False,160,0,train,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.636522
89,rectangle_000,rectangle_000_cav02,rectangle,False,170,0,test,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.652586
90,rectangle_000,rectangle_000_cav02,rectangle,False,180,0,train,0,scale_minus_20_percent,49.554,90.455,5376,3536,0.654333
91,rectangle_000,rectangle_000_cav02,rectangle,False,190,0,train,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.652586
92,rectangle_000,rectangle_000_cav02,rectangle,False,200,0,train,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.636522
93,rectangle_000,rectangle_000_cav02,rectangle,False,210,0,train,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.611799
94,rectangle_000,rectangle_000_cav02,rectangle,False,220,0,val,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.593775
95,rectangle_000,rectangle_000_cav02,rectangle,False,230,0,train,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.582615
96,rectangle_000,rectangle_000_cav02,rectangle,False,240,0,train,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.577857
97,rectangle_000,rectangle_000_cav02,rectangle,False,250,0,train,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.581478
98,rectangle_000,rectangle_000_cav02,rectangle,False,260,0,val,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.591722
99,rectangle_000,rectangle_000_cav02,rectangle,False,270,0,train,0,scale_minus_20_percent,49.554,90.455,5376,3536,0.592315
100,rectangle_000,rectangle_000_cav02,rectangle,False,280,0,train,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.591722
101,rectangle_000,rectangle_000_cav02,rectangle,False,290,0,train,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.581478
102,rectangle_000,rectangle_000_cav02,rectangle,False,300,0,train,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.577857
103,rectangle_000,rectangle_000_cav02,rectangle,False,310,0,train,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.582615
104,rectangle_000,rectangle_000_cav02,rectangle,False,320,0,train,0,scale_minus_20_percent,49.554,90.455,5358,3536,0.593775
105,rectangle_000,rectangle_000_cav02,rectangle,False,330,0,train,0,scale_minus_20_percent,49.554,90.455,5390,3536,0.611799
106,rectangle_000,rectangle_000_cav02,rectangle,False,340,0,train,0,scale_minus_20_percent,49.554,90.455,5328,3536,0.636522
107,rectangle_000,rectangle_000_cav02,rectangle,False,350,0,test,0,scale_minus_20_percent,49.554,90.455,5394,3536,0.652586
108,rectangle_000,rectangle_000_cav03,rectangle,False,0,1,train,0,scale_plus_10_percent,49.554,79.123,5376,6440,0.821189
109,rectangle_000,rectangle_000_cav03,rectangle,False,10,1,train,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.801511
110,rectangle_000,rectangle_000_cav03,rectangle,False,20,1,train,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.739476
111,rectangle_000,rectangle_000_cav03,rectangle,False,30,0,val,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.693671
112,rectangle_000,rectangle_000_cav03,rectangle,False,40,0,train,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.665181
113,rectangle_000,rectangle_000_cav03,rectangle,False,50,0,test,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.652625
114,rectangle_000,rectangle_000_cav03,rectangle,False,60,0,val,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.648964
115,rectangle_000,rectangle_000_cav03,rectangle,False,70,0,test,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.640757
116,rectangle_000,rectangle_000_cav03,rectangle,False,80,0,val,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.6216
117,rectangle_000,rectangle_000_cav03,rectangle,False,90,0,train,0,scale_plus_10_percent,49.554,79.123,5376,6440,0.605657
118,rectangle_000,rectangle_000_cav03,rectangle,False,100,0,train,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.6216
119,rectangle_000,rectangle_000_cav03,rectangle,False,110,0,test,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.640757
120,rectangle_000,rectangle_000_cav03,rectangle,False,120,0,train,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.648964
121,rectangle_000,rectangle_000_cav03,rectangle,False,130,0,train,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.652625
122,rectangle_000,rectangle_000_cav03,rectangle,False,140,0,test,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.665181
123,rectangle_000,rectangle_000_cav03,rectangle,False,150,0,train,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.693671
124,rectangle_000,rectangle_000_cav03,rectangle,False,160,1,train,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.739476
125,rectangle_000,rectangle_000_cav03,rectangle,False,170,1,train,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.801511
126,rectangle_000,rectangle_000_cav03,rectangle,False,180,1,val,0,scale_plus_10_percent,49.554,79.123,5376,6440,0.821189
127,rectangle_000,rectangle_000_cav03,rectangle,False,190,1,train,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.801511
128,rectangle_000,rectangle_000_cav03,rectangle,False,200,1,train,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.739476
129,rectangle_000,rectangle_000_cav03,rectangle,False,210,0,train,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.693671
130,rectangle_000,rectangle_000_cav03,rectangle,False,220,0,train,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.665181
131,rectangle_000,rectangle_000_cav03,rectangle,False,230,0,train,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.652625
132,rectangle_000,rectangle_000_cav03,rectangle,False,240,0,train,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.648964
133,rectangle_000,rectangle_000_cav03,rectangle,False,250,0,train,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.640757
134,rectangle_000,rectangle_000_cav03,rectangle,False,260,0,test,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.6216
135,rectangle_000,rectangle_000_cav03,rectangle,False,270,0,train,0,scale_plus_10_percent,49.554,79.123,5376,6440,0.605657
136,rectangle_000,rectangle_000_cav03,rectangle,False,280,0,val,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.6216
137,rectangle_000,rectangle_000_cav03,rectangle,False,290,0,train,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.640757
138,rectangle_000,rectangle_000_cav03,rectangle,False,300,0,test,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.648964
139,rectangle_000,rectangle_000_cav03,rectangle,False,310,0,train,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.652625
140,rectangle_000,rectangle_000_cav03,rectangle,False,320,0,train,0,scale_plus_10_percent,49.554,79.123,5358,6440,0.665181
141,rectangle_000,rectangle_000_cav03,rectangle,False,330,0,val,0,scale_plus_10_percent,49.554,79.123,5390,6440,0.693671
142,rectangle_000,rectangle_000_cav03,rectangle,False,340,1,train,0,scale_plus_10_percent,49.554,79.123,5328,6440,0.739476
143,rectangle_000,rectangle_000_cav03,rectangle,False,350,1,train,0,scale_plus_10_percent,49.554,79.123,5394,6440,0.801511
144,rectangle_000,rectangle_000_cav04,rectangle,False,0,1,val,0,zero_clearance,49.554,64.958,5376,5376,1.0
145,rectangle_000,rectangle_000_cav04,rectangle,False,10,0,train,0,zero_clearance,49.554,64.958,5394,5376,0.857635
146,rectangle_000,rectangle_000_cav04,rectangle,False,20,0,val,0,zero_clearance,49.554,64.958,5328,5376,0.768754
147,rectangle_000,rectangle_000_cav04,rectangle,False,30,0,train,0,zero_clearance,49.554,64.958,5390,5376,0.714634
148,rectangle_000,rectangle_000_cav04,rectangle,False,40,0,val,0,zero_clearance,49.554,64.958,5358,5376,0.683711
149,rectangle_000,rectangle_000_cav04,rectangle,False,50,0,test,0,zero_clearance,49.554,64.958,5358,5376,0.671018
150,rectangle_000,rectangle_000_cav04,rectangle,False,60,0,val,0,zero_clearance,49.554,64.958,5390,5376,0.669312
151,rectangle_000,rectangle_000_cav04,rectangle,False,70,0,train,0,zero_clearance,49.554,64.958,5328,5376,0.665117
152,rectangle_000,rectangle_000_cav04,rectangle,False,80,0,train,0,zero_clearance,49.554,64.958,5394,5376,0.628545
153,rectangle_000,rectangle_000_cav04,rectangle,False,90,0,train,0,zero_clearance,49.554,64.958,5376,5376,0.612403
154,rectangle_000,rectangle_000_cav04,rectangle,False,100,0,train,0,zero_clearance,49.554,64.958,5394,5376,0.628545
155,rectangle_000,rectangle_000_cav04,rectangle,False,110,0,val,0,zero_clearance,49.554,64.958,5328,5376,0.665117
156,rectangle_000,rectangle_000_cav04,rectangle,False,120,0,train,0,zero_clearance,49.554,64.958,5390,5376,0.669312
157,rectangle_000,rectangle_000_cav04,rectangle,False,130,0,val,0,zero_clearance,49.554,64.958,5358,5376,0.671018
158,rectangle_000,rectangle_000_cav04,rectangle,False,140,0,train,0,zero_clearance,49.554,64.958,5358,5376,0.683711
159,rectangle_000,rectangle_000_cav04,rectangle,False,150,0,train,0,zero_clearance,49.554,64.958,5390,5376,0.714634
160,rectangle_000,rectangle_000_cav04,rectangle,False,160,0,test,0,zero_clearance,49.554,64.958,5328,5376,0.768754
161,rectangle_000,rectangle_000_cav04,rectangle,False,170,0,train,0,zero_clearance,49.554,64.958,5394,5376,0.857635
162,rectangle_000,rectangle_000_cav04,rectangle,False,180,1,train,0,zero_clearance,49.554,64.958,5376,5376,1.0
163,rectangle_000,rectangle_000_cav04,rectangle,False,190,0,test,0,zero_clearance,49.554,64.958,5394,5376,0.857635
164,rectangle_000,rectangle_000_cav04,rectangle,False,200,0,train,0,zero_clearance,49.554,64.958,5328,5376,0.768754
165,rectangle_000,rectangle_000_cav04,rectangle,False,210,0,train,0,zero_clearance,49.554,64.958,5390,5376,0.714634
166,rectangle_000,rectangle_000_cav04,rectangle,False,220,0,val,0,zero_clearance,49.554,64.958,5358,5376,0.683711
167,rectangle_000,rectangle_000_cav04,rectangle,False,230,0,train,0,zero_clearance,49.554,64.958,5358,5376,0.671018
168,rectangle_000,rectangle_000_cav04,rectangle,False,240,0,val,0,zero_clearance,49.554,64.958,5390,5376,0.669312
169,rectangle_000,rectangle_000_cav04,rectangle,False,250,0,train,0,zero_clearance,49.554,64.958,5328,5376,0.665117
170,rectangle_000,rectangle_000_cav04,rectangle,False,260,0,train,0,zero_clearance,49.554,64.958,5394,5376,0.628545
171,rectangle_000,rectangle_000_cav04,rectangle,False,270,0,train,0,zero_clearance,49.554,64.958,5376,5376,0.612403
172,rectangle_000,rectangle_000_cav04,rectangle,False,280,0,train,0,zero_clearance,49.554,64.958,5394,5376,0.628545
173,rectangle_000,rectangle_000_cav04,rectangle,False,290,0,test,0,zero_clearance,49.554,64.958,5328,5376,0.665117
174,rectangle_000,rectangle_000_cav04,rectangle,False,300,0,test,0,zero_clearance,49.554,64.958,5390,5376,0.669312
175,rectangle_000,rectangle_000_cav04,rectangle,False,310,0,train,0,zero_clearance,49.554,64.958,5358,5376,0.671018
176,rectangle_000,rectangle_000_cav04,rectangle,False,320,0,train,0,zero_clearance,49.554,64.958,5358,5376,0.683711
177,rectangle_000,rectangle_000_cav04,rectangle,False,330,0,train,0,zero_clearance,49.554,64.958,5390,5376,0.714634
178,rectangle_000,rectangle_000_cav04,rectangle,False,340,0,train,0,zero_clearance,49.554,64.958,5328,5376,0.768754
179,rectangle_000,rectangle_000_cav04,rectangle,False,350,0,train,0,zero_clearance,49.554,64.958,5394,5376,0.857635
180,rectangle_000,rectangle_000_cav05,rectangle,False,0,0,val,0,shallow_depth,49.554,4.479,5376,5676,0.956907
181,rectangle_000,rectangle_000_cav05,rectangle,False,10,0,train,0,shallow_depth,49.554,4.479,5394,5676,0.855418
182,rectangle_000,rectangle_000_cav05,rectangle,False,20,0,train,0,shallow_depth,49.554,4.479,5328,5676,0.767953
183,rectangle_000,rectangle_000_cav05,rectangle,False,30,0,train,0,shallow_depth,49.554,4.479,5390,5676,0.714424
184,rectangle_000,rectangle_000_cav05,rectangle,False,40,0,val,0,shallow_depth,49.554,4.479,5358,5676,0.683754
185,rectangle_000,rectangle_000_cav05,rectangle,False,50,0,test,0,shallow_depth,49.554,4.479,5358,5676,0.671253
186,rectangle_000,rectangle_000_cav05,rectangle,False,60,0,test,0,shallow_depth,49.554,4.479,5390,5676,0.669997
187,rectangle_000,rectangle_000_cav05,rectangle,False,70,0,train,0,shallow_depth,49.554,4.479,5328,5676,0.666386
188,rectangle_000,rectangle_000_cav05,rectangle,False,80,0,train,0,shallow_depth,49.554,4.479,5394,5676,0.631339
189,rectangle_000,rectangle_000_cav05,rectangle,False,90,0,train,0,shallow_depth,49.554,4.479,5376,5676,0.615111
190,rectangle_000,rectangle_000_cav05,rectangle,False,100,0,train,0,shallow_depth,49.554,4.479,5394,5676,0.631339
191,rectangle_000,rectangle_000_cav05,rectangle,False,110,0,train,0,shallow_depth,49.554,4.479,5328,5676,0.666386
192,rectangle_000,rectangle_000_cav05,rectangle,False,120,0,train,0,shallow_depth,49.554,4.479,5390,5676,0.669997
193,rectangle_000,rectangle_000_cav05,rectangle,False,130,0,test,0,shallow_depth,49.554,4.479,5358,5676,0.671253
194,rectangle_000,rectangle_000_cav05,rectangle,False,140,0,train,0,shallow_depth,49.554,4.479,5358,5676,0.683754
195,rectangle_000,rectangle_000_cav05,rectangle,False,150,0,train,0,shallow_depth,49.554,4.479,5390,5676,0.714424
196,rectangle_000,rectangle_000_cav05,rectangle,False,160,0,train,0,shallow_depth,49.554,4.479,5328,5676,0.767953
197,rectangle_000,rectangle_000_cav05,rectangle,False,170,0,train,0,shallow_depth,49.554,4.479,5394,5676,0.855418
198,rectangle_000,rectangle_000_cav05,rectangle,False,180,0,train,0,shallow_depth,49.554,4.479,5376,5676,0.956907
199,rectangle_000,rectangle_000_cav05,rectangle,False,190,0,train,0,shallow_depth,49.554,4.479,5394,5676,0.855418
200,rectangle_000,rectangle_000_cav05,rectangle,False,200,0,val,0,shallow_depth,49.554,4.479,5328,5676,0.767953
201,rectangle_000,rectangle_000_cav05,rectangle,False,210,0,train,0,shallow_depth,49.554,4.479,5390,5676,0.714424
202,rectangle_000,rectangle_000_cav05,rectangle,False,220,0,train,0,shallow_depth,49.554,4.479,5358,5676,0.683754
203,rectangle_000,rectangle_000_cav05,rectangle,False,230,0,train,0,shallow_depth,49.554,4.479,5358,5676,0.671253
204,rectangle_000,rectangle_000_cav05,rectangle,False,240,0,train,0,shallow_depth,49.554,4.479,5390,5676,0.669997
205,rectangle_000,rectangle_000_cav05,rectangle,False,250,0,train,0,shallow_depth,49.554,4.479,5328,5676,0.666386
206,rectangle_000,rectangle_000_cav05,rectangle,False,260,0,test,0,shallow_depth,49.554,4.479,5394,5676,0.631339
207,rectangle_000,rectangle_000_cav05,rectangle,False,270,0,train,0,shallow_depth,49.554,4.479,5376,5676,0.615111
208,rectangle_000,rectangle_000_cav05,rectangle,False,280,0,train,0,shallow_depth,49.554,4.479,5394,5676,0.631339
209,rectangle_000,rectangle_000_cav05,rectangle,False,290,0,train,0,shallow_depth,49.554,4.479,5328,5676,0.666386
210,rectangle_000,rectangle_000_cav05,rectangle,False,300,0,train,0,shallow_depth,49.554,4.479,5390,5676,0.669997
211,rectangle_000,rectangle_000_cav05,rectangle,False,310,0,train,0,shallow_depth,49.554,4.479,5358,5676,0.671253
212,rectangle_000,rectangle_000_cav05,rectangle,False,320,0,train,0,shallow_depth,49.554,4.479,5358,5676,0.683754
213,rectangle_000,rectangle_000_cav05,rectangle,False,330,0,train,0,shallow_depth,49.554,4.479,5390,5676,0.714424
214,rectangle_000,rectangle_000_cav05,rectangle,False,340,0,train,0,shallow_depth,49.554,4.479,5328,5676,0.767953
215,rectangle_000,rectangle_000_cav05,rectangle,False,350,0,train,0,shallow_depth,49.554,4.479,5394,5676,0.855418
216,rectangle_000,rectangle_000_cav06,rectangle,False,0,0,val,0,other_piece_no_clearance,49.554,40.308,5376,1380,0.249757
217,rectangle_000,rectangle_000_cav06,rectangle,False,10,0,train,0,other_piece_no_clearance,49.554,40.308,5394,1380,0.24909
218,rectangle_000,rectangle_000_cav06,rectangle,False,20,0,train,0,other_piece_no_clearance,49.554,40.308,5328,1380,0.248441
219,rectangle_000,rectangle_000_cav06,rectangle,False,30,0,val,0,other_piece_no_clearance,49.554,40.308,5390,1380,0.247274
